Sample_name	ENA_Accession	Lane	Barcode	Primer_code	ASV_table	Tagging_primers1	Tagging_primers2	Tagging_primers3	Abbreviated_description	Long_description	custom_scripts_ID
R168L1BC84_V4GI502	ERS4560570	L1	BC84	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_20_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 80% plant 20% mixed bacteria	TitRep4_20_L1
R168L1BC85_V4GI502	ERS4560571	L1	BC85	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_16_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 84% plant 16% mixed bacteria	TitRep4_16_L1
R168L1BC86_V4GI502	ERS4560572	L1	BC86	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_8_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 92% plant 8% mixed bacteria	TitRep4_8_L1
R168L1BC87_V4GI502	ERS4560573	L1	BC87	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_4_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 96% plant 4% mixed bacteria	TitRep4_4_L1
R168L1BC88_V4GI502	ERS4560574	L1	BC88	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_2_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 98% plant 2% mixed bacteria	TitRep4_2_L1
R168L1BC89_V4GI502	ERS4560575	L1	BC89	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_1_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 99% plant 1% mixed bacteria	TitRep4_1_L1
R168L1BC90_V4GI502	ERS4560576	L1	BC90	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_0.5_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 99.5% plant 0.5% mixed bacteria	TitRep4_0.5_L1
R168L1BC91_V4GI502	ERS4560577	L1	BC91	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_0.25_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 99.75% plant 0.25% mixed bacteria	TitRep4_0.25_L1
R168L1BC92_V4GI502	ERS4560578	L1	BC92	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_0_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 100% plant, 0% mixed bacteria	TitRep4_0_L1
R168L1BC93_V4GI502	ERS4560579	L1	BC93	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_0noPNA_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 100% plant, 0% mixed bacteria, amplified without PNAs	TitRep4_0noPNA_L1
R168L1BC94_V4GI502	ERS4560580	L1	BC94	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_blank_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, water blank	TitRep4_blank_L1
R168L1BC95_V4GI502	ERS4560581	L1	BC95	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	RefPOOL4	Remixed Pooled Libraries: Reference Sample Replicate 4	RefPOOL4_L1
R168L1BC96_V4GI502	ERS4560582	L1	BC96	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_10_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 10 tagging cycles and 22 PCR cycles	plasmid_10_L1
R168L2BC1_V4GI502	ERS4560583	L2	BC1	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_E100_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, pure E.coli	TitRep1_E100_L2
R168L2BC2_V4GI502	ERS4560584	L2	BC2	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_M100_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, mixed bacteria	TitRep1_M100_L2
R168L2BC3_V4GI502	ERS4560585	L2	BC3	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_24_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 76% plant 24% mixed bacteria	TitRep1_24_L2
R168L2BC4_V4GI502	ERS4560586	L2	BC4	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_20_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 80% plant 20% mixed bacteria	TitRep1_20_L2
R168L2BC5_V4GI502	ERS4560587	L2	BC5	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_16_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 84% plant 16% mixed bacteria	TitRep1_16_L2
R168L2BC6_V4GI502	ERS4560588	L2	BC6	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_8_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 92% plant 8% mixed bacteria	TitRep1_8_L2
R168L2BC7_V4GI502	ERS4560589	L2	BC7	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_4_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 96% plant 4% mixed bacteria	TitRep1_4_L2
R168L2BC8_V4GI502	ERS4560590	L2	BC8	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_2_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 98% plant 2% mixed bacteria	TitRep1_2_L2
R168L2BC9_V4GI502	ERS4560591	L2	BC9	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_1_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 99% plant 1% mixed bacteria	TitRep1_1_L2
R168L2BC10_V4GI502	ERS4560592	L2	BC10	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_0.5_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 99.5% plant 0.5% mixed bacteria	TitRep1_0.5_L2
R168L2BC11_V4GI502	ERS4560593	L2	BC11	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_0.25_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 99.75% plant 0.25% mixed bacteria	TitRep1_0.25_L2
R168L2BC12_V4GI502	ERS4560594	L2	BC12	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_0_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 100% plant, 0% mixed bacteria	TitRep1_0_L2
R168L2BC13_V4GI502	ERS4560595	L2	BC13	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_0noPNA_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, 100% plant, 0% mixed bacteria, amplified without PNAs	TitRep1_0noPNA_L2
R168L2BC14_V4GI502	ERS4560596	L2	BC14	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_blank_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 1, water blank	TitRep1_blank_L2
R168L2BC16_V4GI502	ERS4560597	L2	BC16	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_9_og	Original Pooled Libraries: Synethetic Equimolar Plasmid Template, 9 tagging cycles and 23 PCR cycles	plasmid_9_L2
R168L2BC17_V4GI502	ERS4560598	L2	BC17	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_E100_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, pure E.coli	TitRep2_E100_L2
R168L2BC18_V4GI502	ERS4560599	L2	BC18	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_M100_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, mixed bacteria	TitRep2_M100_L2
R168L2BC19_V4GI502	ERS4560600	L2	BC19	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_24_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 76% plant 24% mixed bacteria	TitRep2_24_L2
R168L2BC20_V4GI502	ERS4560601	L2	BC20	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_20_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 80% plant 20% mixed bacteria	TitRep2_20_L2
R168L2BC21_V4GI502	ERS4560602	L2	BC21	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_16_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 84% plant 16% mixed bacteria	TitRep2_16_L2
R168L2BC22_V4GI502	ERS4560603	L2	BC22	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_8_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 92% plant 8% mixed bacteria	TitRep2_8_L2
R168L2BC23_V4GI502	ERS4560604	L2	BC23	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_4_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 96% plant 4% mixed bacteria	TitRep2_4_L2
R168L2BC24_V4GI502	ERS4560605	L2	BC24	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_2_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 98% plant 2% mixed bacteria	TitRep2_2_L2
R168L2BC25_V4GI502	ERS4560606	L2	BC25	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_1_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 99% plant 1% mixed bacteria	TitRep2_1_L2
R168L2BC26_V4GI502	ERS4560607	L2	BC26	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_0.5_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 99.5% plant 0.5% mixed bacteria	TitRep2_0.5_L2
R168L2BC27_V4GI502	ERS4560608	L2	BC27	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_0.25_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 99.75% plant 0.25% mixed bacteria	TitRep2_0.25_L2
R168L2BC28_V4GI502	ERS4560609	L2	BC28	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_0_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 100% plant, 0% mixed bacteria	TitRep2_0_L2
R168L2BC29_V4GI502	ERS4560610	L2	BC29	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_0noPNA_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, 100% plant, 0% mixed bacteria, amplified without PNAs	TitRep2_0noPNA_L2
R168L2BC30_V4GI502	ERS4560611	L2	BC30	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_blank_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 2, water blank	TitRep2_blank_L2
R168L2BC32_V4	ERS4560612	L2	BC32	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_10_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 10 tagging cycles and 22 PCR cycles	16S_wild_10_L2
R168L2BC33_V4GI502	ERS4560613	L2	BC33	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_E100_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, pure E.coli	TitRep3_E100_L2
R168L2BC34_V4GI502	ERS4560614	L2	BC34	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_M100_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, mixed bacteria	TitRep3_M100_L2
R168L2BC35_V4GI502	ERS4560615	L2	BC35	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_24_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 76% plant 24% mixed bacteria	TitRep3_24_L2
R168L2BC36_V4GI502	ERS4560616	L2	BC36	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_20_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 80% plant 20% mixed bacteria	TitRep3_20_L2
R168L2BC37_V4GI502	ERS4560617	L2	BC37	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_16_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 84% plant 16% mixed bacteria	TitRep3_16_L2
R168L2BC38_V4GI502	ERS4560618	L2	BC38	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_8_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 92% plant 8% mixed bacteria	TitRep3_8_L2
R168L2BC39_V4GI502	ERS4560619	L2	BC39	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_4_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 96% plant 4% mixed bacteria	TitRep3_4_L2
R168L2BC40_V4GI502	ERS4560620	L2	BC40	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_2_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 98% plant 2% mixed bacteria	TitRep3_2_L2
R168L2BC41_V4GI502	ERS4560621	L2	BC41	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_1_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 99% plant 1% mixed bacteria	TitRep3_1_L2
R168L2BC42_V4GI502	ERS4560622	L2	BC42	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_0.5_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 99.5% plant 0.5% mixed bacteria	TitRep3_0.5_L2
R168L2BC43_V4GI502	ERS4560623	L2	BC43	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_0.25_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 99.75% plant 0.25% mixed bacteria	TitRep3_0.25_L2
R168L2BC44_V4GI502	ERS4560624	L2	BC44	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_0_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 100% plant, 0% mixed bacteria	TitRep3_0_L2
R168L2BC45_V4GI502	ERS4560625	L2	BC45	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_0noPNA_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, 100% plant, 0% mixed bacteria, amplified without PNAs	TitRep3_0noPNA_L2
R168L2BC46_V4GI502	ERS4560626	L2	BC46	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_blank_og	Original Pooled Libraries: Synthetic Titration Panel Replicate 3, water blank	TitRep3_blank_L2
R168L2BC48_V4GI502	ERS4560627	L2	BC48	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hm_wild_10_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 10 tagging cycles and 22 PCR cycles	hm_wild_10_L2
R168L2BC49_V4	ERS4560628	L2	BC49	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_2.1_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 2 tagging cycles and 30 PCR cycles, Replicate 1	16S_wild_2.1_L2
R168L2BC50_V4GI502	ERS4560629	L2	BC50	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_2.1_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 2 tagging cycles and 30 PCR cycles, Replicate 1	hmPCR_wild_2.1_L2
R168L2BC51_V4GI502	ERS4560630	L2	BC51	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_2.1_og	Original Pooled Libraries: Synethetic Equimolar Plasmid Template, 2 tagging cycles and 30 PCR cycles, Replicate 1	plasmid_2.1_L2
R168L2BC52_V4	ERS4560631	L2	BC52	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_2.2_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 2 tagging cycles and 30 PCR cycles, Replicate 2	16S_wild_2.2_L2
R168L2BC53_V4GI502	ERS4560632	L2	BC53	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_2.2_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 2 tagging cycles and 30 PCR cycles, Replicate 2	hmPCR_wild_2.2_L2
R168L2BC54_V4GI502	ERS4560633	L2	BC54	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_2.2_og	Original Pooled Libraries: Synethetic Equimolar Plasmid Template, 2 tagging cycles and 30 PCR cycles, Replicate 2	plasmid_2.2_L2
R168L2BC55_V4	ERS4560634	L2	BC55	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_2.3_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 2 tagging cycles and 30 PCR cycles, Replicate 3	16S_wild_2.3_L2
R168L2BC56_V4GI502	ERS4560635	L2	BC56	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_2.3_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 2 tagging cycles and 30 PCR cycles, Replicate 3	hmPCR_wild_2.3_L2
R168L2BC57_V4GI502	ERS4560636	L2	BC57	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_2.3_og	Original Pooled Libraries: Synethetic Equimolar Plasmid Template, 2 tagging cycles and 30 PCR cycles, Replicate 3	plasmid_2.3_L2
R168L2BC58_V4	ERS4560637	L2	BC58	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_2.4_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 2 tagging cycles and 30 PCR cycles, Replicate 4	16S_wild_2.4_L2
R168L2BC59_V4GI502	ERS4560638	L2	BC59	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_2.4_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 2 tagging cycles and 30 PCR cycles, Replicate 4	hmPCR_wild_2.4_L2
R168L2BC60_V4GI502	ERS4560639	L2	BC60	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_2.4_og	Original Pooled Libraries: Synethetic Equimolar Plasmid Template, 2 tagging cycles and 30 PCR cycles, Replicate 4	plasmid_2.4_L2
R168L2BC61_V4	ERS4560640	L2	BC61	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_3_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 3 tagging cycles and 29 PCR cycles	16S_wild_3_L2
R168L2BC62_V4GI502	ERS4560641	L2	BC62	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_3_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 3 tagging cycles and 29 PCR cycles	hmPCR_wild_3_L2
R168L2BC63_V4GI502	ERS4560642	L2	BC63	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_3_og	Original Pooled Libraries: Synethetic Equimolar Plasmid Template, 3 tagging cycles and 29 PCR cycles	plasmid_3_L2
R168L2BC64_V4	ERS4560643	L2	BC64	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_4_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 4 tagging cycles and 28 PCR cycles	16S_wild_4_L2
R168L2BC65_V4GI502	ERS4560644	L2	BC65	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_4_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 4 tagging cycles and 28 PCR cycles	hmPCR_wild_4_L2
R168L2BC66_V4GI502	ERS4560645	L2	BC66	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_4_og	Original Pooled Libraries: Synethetic Equimolar Plasmid Template, 4 tagging cycles and 28 PCR cycles	plasmid_4_L2
R168L2BC67_V4	ERS4560646	L2	BC67	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_5_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 5 tagging cycles and 27 PCR cycles	16S_wild_5_L2
R168L2BC68_V4GI502	ERS4560647	L2	BC68	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_5_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 5 tagging cycles and 27 PCR cycles	hmPCR_wild_5_L2
R168L2BC69_V4GI502	ERS4560648	L2	BC69	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_5_og	Original Pooled Libraries: Synethetic Equimolar Plasmid Template, 5 tagging cycles and 27 PCR cycles	plasmid_5_L2
R168L2BC70_V4	ERS4560649	L2	BC70	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_6_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 6 tagging cycles and 26 PCR cycles	16S_wild_6_L2
R168L2BC71_V4GI502	ERS4560650	L2	BC71	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_6_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 6 tagging cycles and 26 PCR cycles	hmPCR_wild_6_L2
R168L2BC72_V4GI502	ERS4560651	L2	BC72	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_6_og	Original Pooled Libraries: Synethetic Equimolar Plasmid Template, 6 tagging cycles and 26 PCR cycles	plasmid_6_L2
R168L2BC73_V4	ERS4560652	L2	BC73	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_7_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 7 tagging cycles and 25 PCR cycles	16S_wild_7_L2
R168L2BC74_V4GI502	ERS4560653	L2	BC74	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_7_og	Original Pooled Libraries: Pooled wild A. thaliana leaf, 7 tagging cycles and 25 PCR cycles	hmPCR_wild_7_L2
